rounds;hashValues;maxHashValues;leafValues;maxLeafValues
1;0;0;1;1
2;0;0;1;1
3;0;0;2;2
4;1;1;1;2
5;0;1;2;2
6;1;1;1;2
7;0;1;2;2
8;2;2;1;2
9;0;2;2;2
10;1;2;1;2
11;0;2;2;2
12;2;2;1;2
13;0;2;2;2
14;1;2;1;2
15;0;2;2;2
16;3;3;1;2
17;0;3;2;2
18;1;3;2;2
19;0;3;3;3
20;3;3;2;3
21;0;3;3;3
22;2;3;2;3
23;0;3;3;3
24;5;5;2;3
25;0;5;3;3
26;2;5;2;3
27;0;5;3;3
28;4;5;2;3
29;0;5;3;3
30;2;5;2;3
31;0;5;3;3
32;7;7;2;3
33;0;7;2;3
34;1;7;2;3
35;0;7;3;3
36;3;7;2;3
37;0;7;3;3
38;2;7;2;3
39;0;7;3;3
40;5;7;2;3
41;0;7;3;3
42;2;7;2;3
43;0;7;3;3
44;4;7;2;3
45;0;7;3;3
46;2;7;2;3
47;0;7;3;3
48;7;7;2;3
49;0;7;2;3
50;1;7;2;3
51;0;7;3;3
52;3;7;2;3
53;0;7;3;3
54;2;7;2;3
55;0;7;3;3
56;5;7;2;3
57;0;7;3;3
58;2;7;2;3
59;0;7;3;3
60;4;7;2;3
61;0;7;3;3
62;2;7;2;3
63;0;7;3;3
64;8;8;2;3
65;0;8;2;3
66;1;8;2;3
67;0;8;3;3
68;3;8;2;3
69;0;8;3;3
70;2;8;2;3
71;0;8;3;3
72;5;8;2;3
73;0;8;3;3
74;2;8;2;3
75;0;8;3;3
76;4;8;2;3
77;0;8;3;3
78;2;8;2;3
79;0;8;3;3
80;7;8;2;3
81;0;8;2;3
82;1;8;2;3
83;0;8;3;3
84;3;8;2;3
85;0;8;3;3
86;2;8;2;3
87;0;8;3;3
88;5;8;2;3
89;0;8;3;3
90;2;8;2;3
91;0;8;3;3
92;4;8;2;3
93;0;8;3;3
94;2;8;2;3
95;0;8;3;3
96;8;8;2;3
97;0;8;2;3
98;1;8;2;3
99;0;8;3;3
100;3;8;2;3
101;0;8;3;3
102;2;8;2;3
103;0;8;3;3
104;5;8;2;3
105;0;8;3;3
106;2;8;2;3
107;0;8;3;3
108;4;8;2;3
109;0;8;3;3
110;2;8;2;3
111;0;8;3;3
112;7;8;2;3
113;0;8;2;3
114;1;8;2;3
115;0;8;3;3
116;3;8;2;3
117;0;8;3;3
118;2;8;2;3
119;0;8;3;3
120;5;8;2;3
121;0;8;3;3
122;2;8;2;3
123;0;8;3;3
124;4;8;2;3
125;0;8;3;3
126;2;8;2;3
127;0;8;3;3
128;9;9;2;3
129;0;9;1;3
130;0;9;1;3
131;0;9;2;3
132;1;9;1;3
133;0;9;2;3
134;1;9;1;3
135;0;9;2;3
136;2;9;1;3
137;0;9;2;3
138;1;9;1;3
139;0;9;2;3
140;2;9;1;3
141;0;9;2;3
142;1;9;1;3
143;0;9;2;3
144;3;9;1;3
145;0;9;2;3
146;1;9;2;3
147;0;9;3;3
148;3;9;2;3
149;0;9;3;3
150;2;9;2;3
151;0;9;3;3
152;5;9;2;3
153;0;9;3;3
154;2;9;2;3
155;0;9;3;3
156;4;9;2;3
157;0;9;3;3
158;2;9;2;3
159;0;9;3;3
160;7;9;2;3
161;0;9;2;3
162;1;9;2;3
163;0;9;3;3
164;3;9;2;3
165;0;9;3;3
166;2;9;2;3
167;0;9;3;3
168;5;9;2;3
169;0;9;3;3
170;2;9;2;3
171;0;9;3;3
172;4;9;2;3
173;0;9;3;3
174;2;9;2;3
175;0;9;3;3
176;7;9;2;3
177;0;9;2;3
178;1;9;2;3
179;0;9;3;3
180;3;9;2;3
181;0;9;3;3
182;2;9;2;3
183;0;9;3;3
184;5;9;2;3
185;0;9;3;3
186;2;9;2;3
187;0;9;3;3
188;4;9;2;3
189;0;9;3;3
190;2;9;2;3
191;0;9;3;3
192;8;9;2;3
193;0;9;2;3
194;1;9;2;3
195;0;9;3;3
196;3;9;2;3
197;0;9;3;3
198;2;9;2;3
199;0;9;3;3
200;5;9;2;3
201;0;9;3;3
202;2;9;2;3
203;0;9;3;3
204;4;9;2;3
205;0;9;3;3
206;2;9;2;3
207;0;9;3;3
208;7;9;2;3
209;0;9;2;3
210;1;9;2;3
211;0;9;3;3
212;3;9;2;3
213;0;9;3;3
214;2;9;2;3
215;0;9;3;3
216;5;9;2;3
217;0;9;3;3
218;2;9;2;3
219;0;9;3;3
220;4;9;2;3
221;0;9;3;3
222;2;9;2;3
223;0;9;3;3
224;8;9;2;3
225;0;9;2;3
226;1;9;2;3
227;0;9;3;3
228;3;9;2;3
229;0;9;3;3
230;2;9;2;3
231;0;9;3;3
232;5;9;2;3
233;0;9;3;3
234;2;9;2;3
235;0;9;3;3
236;4;9;2;3
237;0;9;3;3
238;2;9;2;3
239;0;9;3;3
240;7;9;2;3
241;0;9;2;3
242;1;9;2;3
243;0;9;3;3
244;3;9;2;3
245;0;9;3;3
246;2;9;2;3
247;0;9;3;3
248;5;9;2;3
249;0;9;3;3
250;2;9;2;3
251;0;9;3;3
252;4;9;2;3
253;0;9;3;3
254;2;9;2;3
255;0;9;3;3
256;9;9;2;3
257;0;9;1;3
258;0;9;1;3
